Country Name,year,GDP,population
Turks and Caicos Islands,1960,313582727.638056,5726.0
Chad,1960,313582727.638056,3001593.0
East Asia & Pacific (IDA & IBRD countries),1960,80089039820.4153,882521780.0
Europe & Central Asia (IDA & IBRD countries),1960,121128073.114022,308725388.0
Togo,1960,121128073.114022,1580513.0
Thailand,1960,2760747471.88624,27397175.0
Tajikistan,1960,2760747471.88624,2087038.0
Turkmenistan,1960,2760747471.88624,1603258.0
Latin America & the Caribbean (IDA & IBRD countries),1960,2760747471.88624,210357620.0
Timor-Leste,1960,46535881332.4735,499950.0
Middle East & North Africa (IDA & IBRD countries),1960,46535881332.4735,97837766.0
Tonga,1960,46535881332.4735,61601.0
South Asia (IDA & IBRD),1960,46535881332.4735,571835666.0
Sub-Saharan Africa (IDA & IBRD countries),1960,26427001496.2575,228586005.0
Trinidad and Tobago,1960,535670127.748935,848479.0
Tunisia,1960,13995067817.5092,4176266.0
Turkey,1960,13995067817.5092,27472331.0
Tuvalu,1960,423008385.744235,6104.0
Tanzania,1960,423008385.744235,10074507.0
Uganda,1960,423008385.744235,6788214.0
Ukraine,1960,197068880311.139,42662149.0
Upper middle income,1960,197068880311.139,1150568959.0
Uruguay,1960,1242289239.20493,2538651.0
United States,1960,543300000000.0,180671000.0
Uzbekistan,1960,13066557.7786852,8549493.0
St. Vincent and the Grenadines,1960,13066557.7786852,80949.0
"Venezuela, RB",1960,8736939393.93939,8146847.0
British Virgin Islands,1960,24200000.0,8033.0
Virgin Islands (U.S.),1960,24200000.0,32500.0
Vietnam,1960,1353783420391.4,32670629.0
Vanuatu,1960,1353783420391.4,63699.0
World,1960,1353783420391.4,3032160395.0
Samoa,1960,7575248495.0301,108646.0
Kosovo,1960,7575248495.0301,947000.0
"Yemen, Rep.",1960,7575248495.0301,5172135.0
South Africa,1960,7575248495.0301,17456855.0
Zambia,1960,713000000.0,3044846.0
Zimbabwe,1960,1052990400.0,3747369.0
Aruba,1961,270209616177.8,55438.0
Afghanistan,1961,548888895.555556,9166764.0
Angola,1961,19648336879.8298,5753024.0
Albania,1961,19648336879.8298,1659800.0
Andorra,1961,19648336879.8298,14375.0
Arab World,1961,19648336879.8298,95044497.0
United Arab Emirates,1961,19648336879.8298,101078.0
Argentina,1961,19648336879.8298,20953077.0
Armenia,1961,19648336879.8298,1941491.0
American Samoa,1961,19648336879.8298,20486.0
Antigua and Barbuda,1961,19648336879.8298,56144.0
Australia,1961,19648336879.8298,10483000.0
Austria,1961,7311749633.36229,7086299.0
Azerbaijan,1961,202999992.0,4030320.0
Burundi,1961,202999992.0,2839666.0
Belgium,1961,12400145221.595,9183948.0
Benin,1961,235668222.429984,2465867.0
Burkina Faso,1961,350247237.11684,4894580.0
Bangladesh,1961,4817580183.60155,49592802.0
Bulgaria,1961,190098039.215686,7943118.0
Bahrain,1961,190098039.215686,167894.0
"Bahamas, The",1961,190098039.215686,115108.0
Bosnia and Herzegovina,1961,29964370.7125857,3288602.0
Belarus,1961,29964370.7125857,8271216.0
Belize,1961,29964370.7125857,94703.0
Bermuda,1961,89249986.7007156,45500.0
Bolivia,1961,612518906.826491,3764813.0
Brazil,1961,235668222.429984,74351763.0
Barbados,1961,235668222.429984,231678.0
Brunei Darussalam,1961,235668222.429984,85596.0
Bhutan,1961,235668222.429984,228918.0
Botswana,1961,32902336.644746,537249.0
Central African Republic,1961,123134584.467673,1529227.0
Canada,1961,40767969453.696,18271000.0
Central Europe and the Baltics,1961,40767969453.696,92237118.0
Switzerland,1961,10712712465.0522,5434294.0
Channel Islands,1961,4609727272.72727,110399.0
Chile,1961,4609727272.72727,7890156.0
China,1961,50056868957.6732,660330000.0
Cote d'Ivoire,1961,618245639.221382,3694205.0
Cameroon,1961,657597382.759152,5285231.0
"Congo, Dem. Rep.",1961,151675739.160603,15637733.0
"Congo, Rep.",1961,151675739.160603,1064111.0
Colombia,1961,4552914000.0,16982315.0
Comoros,1961,490325181.614275,194139.0
Cabo Verde,1961,490325181.614275,205956.0
Costa Rica,1961,490325181.614275,1381917.0
Caribbean small states,1961,2061195460.45817,4277802.0
Cuba,1961,6933842098.84548,7289826.0
Curacao,1961,6933842098.84548,126125.0
Cayman Islands,1961,6933842098.84548,8026.0
Cyprus,1961,6933842098.84548,576395.0
Czech Republic,1961,6933842098.84548,9586651.0
Germany,1961,6933842098.84548,73377632.0
Djibouti,1961,6933842098.84548,88498.0
Dominica,1961,6933842098.84548,61032.0
Denmark,1961,6933842098.84548,4611687.0
Dominican Republic,1961,654100200.0,3406299.0
Algeria,1961,2434776645.73628,11404859.0
East Asia & Pacific (excluding high income),1961,70449582496.8649,893537036.0
Early-demographic dividend,1961,139439345362.156,1002523576.0
East Asia & Pacific,1961,153702815959.873,1043546747.0
Europe & Central Asia (excluding high income),1961,459361493557.904,279245314.0
Europe & Central Asia,1961,459361493557.904,674972972.0
Ecuador,1961,979108806.848646,4676859.0
"Egypt, Arab Rep.",1961,270209616177.8,27744712.0
Euro area,1961,270209616177.8,267825309.0
Eritrea,1961,13834300571.4849,1432640.0
Spain,1961,13834300571.4849,30739250.0
Estonia,1961,390887213480.674,1225077.0
Ethiopia,1961,390887213480.674,22671190.0
European Union,1961,390887213480.674,413007006.0
Fragile and conflict affected situations,1961,5921659485.03284,122738548.0
Finland,1961,5921659485.03284,4461005.0
Fiji,1961,116987784.913739,407156.0
France,1961,68346741504.4257,47444751.0
Faroe Islands,1961,167637907.381696,35115.0
"Micronesia, Fed. Sts.",1961,167637907.381696,45955.0
Gabon,1961,167637907.381696,504167.0
United Kingdom,1961,76694360635.9159,52800000.0
Georgia,1961,1302674264.19915,3703600.0
Ghana,1961,1302674264.19915,6866539.0
Gibraltar,1961,15753280996.5243,23786.0
Guinea,1961,15753280996.5243,3633652.0
"Gambia, The",1961,1076699900.0,376737.0
Guinea-Bissau,1961,1076699900.0,623415.0
Equatorial Guinea,1961,1076699900.0,258947.0
Greece,1961,5016048786.22753,8398050.0
Grenada,1961,5016048786.22753,91260.0
Greenland,1961,5016048786.22753,33700.0
Guatemala,1961,1076699900.0,4336143.0
Guam,1961,1131766101217.94,68072.0
Guyana,1961,185848451.262906,589274.0
High income,1961,1131766101217.94,792246929.0
"Hong Kong SAR, China",1961,1383681651.13776,3168100.0
Honduras,1961,356200000.0,2096407.0
Heavily indebted poor countries (HIPC),1961,15753280996.5243,166348536.0
Croatia,1961,13834300571.4849,4171672.0
Haiti,1961,167637907.381696,3943364.0
Hungary,1961,13834300571.4849,10029321.0
IBRD only,1961,13834300571.4849,1938089345.0
IDA & IBRD total,1961,38152725088.9157,2329888869.0
IDA total,1961,38152725088.9157,391799524.0
IDA blend,1961,13393145389.2931,126145959.0
Indonesia,1961,38709096075.6305,90138235.0
IDA only,1961,38709096075.6305,265653565.0
Isle of Man,1961,38709096075.6305,48281.0
India,1961,38709096075.6305,458494963.0
Not classified,1961,2088012282.35667,2824400.0
Ireland,1961,2088012282.35667,2824400.0
"Iran, Islamic Rep.",1961,4426949094.75238,22480418.0
Iraq,1961,1831700364.04369,7475352.0
Iceland,1961,253885656.329253,179029.0
Israel,1961,3138500000.0,2185000.0
Italy,1961,44842760293.1924,50536350.0
Jamaica,1961,748028839.423211,1650806.0
Jordan,1961,53508617739.3778,973083.0
Japan,1961,53508617739.3778,94943000.0
Kazakhstan,1961,792959472.139024,10129861.0
Kenya,1961,792959472.139024,8361441.0
Kyrgyz Republic,1961,642857134.285714,2255900.0
Cambodia,1961,642857134.285714,5873015.0
Kiribati,1961,12483229.3064224,42257.0
St. Kitts and Nevis,1961,12483229.3064224,51193.0
"Korea, Rep.",1961,2417237753.94419,25765673.0
Kuwait,1961,183920900.0,301336.0
Latin America & Caribbean (excluding high income),1961,183920900.0,190021046.0
Lao PDR,1961,183920900.0,2170343.0
Lebanon,1961,183920900.0,1864605.0
Liberia,1961,183920900.0,1144986.0
Libya,1961,10712712465.0522,1498071.0
St. Lucia,1961,13834300571.4849,90914.0
Latin America & Caribbean,1961,10712712465.0522,226564469.0
Least developed countries: UN classification,1961,4054599181.01638,246406470.0
Low income,1961,107726181.218408,170210778.0
Liechtenstein,1961,1444327731.09244,16894.0
Sri Lanka,1961,1444327731.09244,10111646.0
Lower middle income,1961,287952716641.714,955943402.0
Low & middle income,1961,287952716641.714,2281121660.0
Lesotho,1961,35699286.0142797,866462.0
Late-demographic dividend,1961,704145671.350213,1099620212.0
Lithuania,1961,704145671.350213,2823550.0
Luxembourg,1961,704145671.350213,316845.0
Latvia,1961,2025689536.60705,2152681.0
"Macao SAR, China",1961,2025689536.60705,170465.0
St. Martin (French part),1961,2025689536.60705,4453.0
Morocco,1961,2025689536.60705,12710547.0
Monaco,1961,14160000000.0,22808.0
Moldova,1961,14160000000.0,2605000.0
Madagascar,1961,699161943.857103,5223568.0
Maldives,1961,14160000000.0,92350.0
Middle East & North Africa,1961,14160000000.0,108374227.0
Mexico,1961,14160000000.0,39394126.0
Marshall Islands,1961,274987348758.132,15051.0
Middle income,1961,274987348758.132,2110910882.0
"Macedonia, FYR",1961,699161943.857103,1507654.0
Mali,1961,699161943.857103,5322266.0
Malta,1961,699161943.857103,325250.0
Myanmar,1961,699161943.857103,21438025.0
Middle East & North Africa (excluding high income),1961,699161943.857103,100458479.0
Montenegro,1961,699161943.857103,491140.0
Mongolia,1961,699161943.857103,982178.0
Northern Mariana Islands,1961,699161943.857103,10302.0
Mozambique,1961,699161943.857103,7541325.0
Mauritania,1961,107726181.218408,883221.0
Mauritius,1961,14160000000.0,680757.0
Malawi,1961,174576508.469831,3700023.0
Malaysia,1961,1901868548.28172,8418460.0
North America,1961,604157219440.397,202007500.0
Namibia,1961,604157219440.397,617277.0
New Caledonia,1961,485785231.729353,81200.0
Niger,1961,485785231.729353,3486295.0
Nigeria,1961,4467200335.99328,46062905.0
Nicaragua,1961,485785231.729353,1830400.0
Netherlands,1961,13493833739.9949,11638712.0
Norway,1961,5632460936.54576,3609800.0
Nepal,1961,531959561.62226,10221759.0
Nauru,1961,531959561.62226,4676.0
New Zealand,1961,5670064168.21773,2419700.0
OECD members,1961,1127150628804.79,801024442.0
Oman,1961,4054599181.01638,564890.0
Other small states,1961,174576508.469831,9366201.0
Pakistan,1961,4054599181.01638,45984892.0
Panama,1961,599026300.0,1167035.0
Peru,1961,2899654840.36567,10350242.0
Philippines,1961,7256966966.22556,27164617.0
Palau,1961,244832035.032526,9900.0
Papua New Guinea,1961,244832035.032526,2051947.0
Poland,1961,8925294683.20384,29964000.0
Pre-demographic dividend,1961,8925294683.20384,192957526.0
Puerto Rico,1961,1865100000.0,2399722.0
"Korea, Dem. People’s Rep.",1961,3417516639.37596,11665595.0
Portugal,1961,3417516639.37596,8929316.0
Paraguay,1961,174576508.469831,1953328.0
West Bank and Gaza,1961,174576508.469831,894214.0
Pacific island small states,1961,174576508.469831,894214.0
Post-demographic dividend,1961,1102291567784.35,765517069.0
French Polynesia,1961,10712712465.0522,80703.0
Qatar,1961,126396469.707058,51421.0
Romania,1961,3034043574.06071,18555250.0
Russian Federation,1961,49639263972.0365,121236000.0
Rwanda,1961,122000016.0,2996096.0
South Asia,1961,49639263972.0364,583894094.0
Saudi Arabia,1961,1419333333.33333,4218879.0
Sudan,1961,1419333333.33333,7769482.0
Senegal,1961,836493109.152284,3295293.0
Singapore,1961,764308114.464916,1702400.0
Solomon Islands,1961,327834680.557103,121396.0
Sierra Leone,1961,327834680.557103,2329204.0
El Salvador,1961,27902348231.5322,2843240.0
San Marino,1961,27902348231.5322,15789.0
Somalia,1961,27902348231.5322,2814096.0
Serbia,1961,27902348231.5322,233965691.0
Sub-Saharan Africa (excluding high income),1961,27902348231.5322,233965691.0
South Sudan,1961,27913099565.0201,3011110.0
Sub-Saharan Africa,1961,27913099565.0201,234008580.0
Small states,1961,98400000.0,14538217.0
Sao Tome and Principe,1961,98400000.0,64551.0
Suriname,1961,98400000.0,298188.0
Slovak Republic,1961,16147160122.7882,4191667.0
Slovenia,1961,16147160122.7882,1594131.0
Sweden,1961,16147160122.7882,7519998.0
Swaziland,1961,43025199.4960101,357453.0
Sint Maarten (Dutch part),1961,11592024.3649283,42889.0
Seychelles,1961,11592024.3649283,42889.0
Syrian Arab Republic,1961,945244992.211306,4721896.0
Turks and Caicos Islands,1961,333975336.626541,5763.0
Chad,1961,333975336.626541,3060355.0
East Asia & Pacific (IDA & IBRD countries),1961,70304291534.1238,881860855.0
Europe & Central Asia (IDA & IBRD countries),1961,10712712465.0522,313380986.0
Togo,1961,126396469.707058,1597526.0
Thailand,1961,3034043574.06071,28224204.0
Tajikistan,1961,10712712465.0522,2159123.0
Turkmenistan,1961,3034043574.06071,1658362.0
Latin America & the Caribbean (IDA & IBRD countries),1961,3034043574.06071,216285875.0
Timor-Leste,1961,49639263972.0365,508845.0
Middle East & North Africa (IDA & IBRD countries),1961,49639263972.0365,100458479.0
Tonga,1961,49639263972.0365,63745.0
South Asia (IDA & IBRD),1961,49639263972.0365,583894094.0
Sub-Saharan Africa (IDA & IBRD countries),1961,27913099565.0201,234008580.0
Trinidad and Tobago,1961,584961208.656595,865360.0
Tunisia,1961,8022222222.22222,4235937.0
Turkey,1961,8022222222.22222,28146893.0
Tuvalu,1961,441524109.014675,6246.0
Tanzania,1961,441524109.014675,10373398.0
Uganda,1961,441524109.014675,7006633.0
Ukraine,1961,177688885048.234,43203635.0
Upper middle income,1961,177688885048.234,1154967480.0
Uruguay,1961,1547388781.43133,2571690.0
United States,1961,563300000000.0,183691000.0
Uzbekistan,1961,13999883.3343055,8837349.0
St. Vincent and the Grenadines,1961,13999883.3343055,82142.0
"Venezuela, RB",1961,9058121212.12121,8461685.0
British Virgin Islands,1961,25700000.0,8155.0
Virgin Islands (U.S.),1961,25700000.0,34300.0
Vietnam,1961,1409528246799.42,33666772.0
Vanuatu,1961,1409528246799.42,65713.0
World,1961,1409528246799.42,3073368589.0
Samoa,1961,7972840543.18914,112119.0
Kosovo,1961,7972840543.18914,966000.0
"Yemen, Rep.",1961,7972840543.18914,5260501.0
South Africa,1961,7972840543.18914,17920673.0
Zambia,1961,696285714.285714,3140264.0
Zimbabwe,1961,1096646600.0,3870756.0
Aruba,1962,546666677.777778,56225.0
Afghanistan,1962,546666677.777778,9345868.0
Angola,1962,19888005375.742,5866061.0
Albania,1962,19888005375.742,1711319.0
Andorra,1962,19888005375.742,15370.0
Arab World,1962,19888005375.742,97682294.0
United Arab Emirates,1962,19888005375.742,112472.0
Argentina,1962,19888005375.742,21287682.0
Armenia,1962,19888005375.742,2009526.0
American Samoa,1962,19888005375.742,21117.0
Antigua and Barbuda,1962,19888005375.742,57144.0
Australia,1962,19888005375.742,10742000.0
Austria,1962,7756110210.11966,7129864.0
Azerbaijan,1962,213500006.0,4171425.0
Burundi,1962,213500006.0,2893669.0
Belgium,1962,13264015675.3193,9220578.0
Benin,1962,236434906.75427,2502896.0
Burkina Faso,1962,379567178.256898,4960326.0
Bangladesh,1962,5081413339.78635,51030137.0
Bulgaria,1962,212254901.960784,8012946.0
Bahrain,1962,212254901.960784,173144.0
"Bahamas, The",1962,212254901.960784,121083.0
Bosnia and Herzegovina,1962,31856922.8615428,3353226.0
Belarus,1962,31856922.8615428,8351928.0
Belize,1962,31856922.8615428,97384.0
Bermuda,1962,94149985.9705588,46600.0
Bolivia,1962,669722541.277818,3838097.0
Brazil,1962,502209403709.059,76573248.0
Barbados,1962,546666677.777778,232586.0
Brunei Darussalam,1962,502209403709.059,89516.0
Bhutan,1962,546666677.777778,234706.0
Botswana,1962,35643207.6265246,550840.0
Central African Republic,1962,124482748.937917,1556661.0
Canada,1962,41978852041.4426,18614000.0
Central Europe and the Baltics,1962,11879982758.5619,93014890.0
Switzerland,1962,11879982758.5619,5573815.0
Channel Islands,1962,5416272727.27273,111457.0
Chile,1962,5416272727.27273,8067136.0
China,1962,47209359005.6056,665770000.0
Cote d'Ivoire,1962,645284344.684118,3841071.0
Cameroon,1962,699373701.217138,5399922.0
"Congo, Dem. Rep.",1962,166521239.86331,16041263.0
"Congo, Rep.",1962,166521239.86331,1092292.0
Colombia,1962,4968603735.58222,17500171.0
Comoros,1962,479180824.348506,197198.0
Cabo Verde,1962,479180824.348506,210867.0
Costa Rica,1962,479180824.348506,1432585.0
Caribbean small states,1962,2174966133.70285,4357746.0
Cuba,1962,7812968114.40012,7450402.0
Curacao,1962,7812968114.40012,128414.0
Cayman Islands,1962,7812968114.40012,8146.0
Cyprus,1962,7812968114.40012,577691.0
Czech Republic,1962,7812968114.40012,9624660.0
Germany,1962,7812968114.40012,74025784.0
Djibouti,1962,7812968114.40012,94204.0
Dominica,1962,7812968114.40012,61982.0
Denmark,1962,7812968114.40012,4647727.0
Dominican Republic,1962,824100000.0,3521278.0
Algeria,1962,2001468867.73344,11690153.0
East Asia & Pacific (excluding high income),1962,64557032219.9808,905445960.0
Early-demographic dividend,1962,144504724598.578,1026586722.0
East Asia & Pacific,1962,157264941829.961,1058028199.0
Europe & Central Asia (excluding high income),1962,546666677.777778,283559690.0
Europe & Central Asia,1962,502209403709.059,682938669.0
Ecuador,1962,958598195.033967,4812890.0
"Egypt, Arab Rep.",1962,40540339808.3477,28506176.0
Euro area,1962,299861478246.081,270324828.0
Eritrea,1962,16138545209.246,1469645.0
Spain,1962,16138545209.246,31023366.0
Estonia,1962,427014890429.911,1241623.0
Ethiopia,1962,427014890429.911,23221389.0
